gender,height_mm,weight_kg,chest_circumference_mm,waist_circumference_mm,hip_breadth_mm,neck_circumference_mm,shoulder_circumference_mm,arm_length_mm,thigh_circumference_mm,calf_circumference_mm,leg_length_mm,chest_cm,waist_cm,hip_cm,clothing_size
Male,1836,850,1013,864,343,384,1150,871,627,398,1119,101.3,86.4,34.3,M
Male,1730,865,1152,969,347,394,1244,878,630,382,1127,115.2,96.9,34.7,XL
Male,1762,958,1096,1095,373,402,1167,866,698,420,1188,109.6,109.5,37.3,XXL
Male,1669,667,957,770,298,362,1086,830,551,373,1017,95.7,77.0,29.8,M
Male,1740,706,985,840,337,381,1100,879,570,336,1131,98.5,84.0,33.7,M
Male,1709,847,1063,1028,338,415,1190,844,652,385,1113,106.3,102.8,33.8,XL
Male,1879,1013,1137,1021,350,421,1195,902,642,404,1174,113.7,102.1,35.0,XL
Male,1674,856,1106,1061,358,392,1123,825,658,417,1106,110.6,106.1,35.8,XXL
Male,1779,1095,1166,1139,431,400,1254,888,773,455,1168,116.6,113.9,43.1,XXXL
Male,1844,834,1081,922,345,397,1164,934,628,364,1161,108.1,92.2,34.5,L
Male,1637,727,1006,995,339,398,1073,811,582,358,1067,100.6,99.5,33.9,XL
Male,1754,986,1153,1047,341,444,1187,898,662,433,1163,115.3,104.7,34.1,XXL
Male,1704,773,1037,885,328,394,1155,849,589,377,1076,103.7,88.5,32.8,L
Male,1840,1400,1469,1379,407,501,1309,1015,781,456,1279,146.9,137.9,40.7,XXXL
Male,1783,674,901,750,312,368,1093,924,532,373,1140,90.1,75.0,31.2,S
Male,1748,884,1071,970,352,383,1184,887,671,418,1103,107.1,97.0,35.2,XL
Male,1703,988,1263,1068,384,461,1252,915,646,373,1090,126.3,106.8,38.4,XXXL
Male,1852,952,1146,1012,349,398,1234,973,613,411,1190,114.6,101.2,34.9,XL
Male,1609,566,858,754,300,334,1035,835,518,367,1010,85.8,75.4,30.0,S
Male,1709,717,1044,926,318,382,1130,868,592,360,1122,104.4,92.6,31.8,L
Male,1835,717,904,827,339,364,1065,922,547,393,1153,90.4,82.7,33.9,M
Male,1679,802,1033,940,359,408,1141,868,621,410,1150,103.3,94.0,35.9,L
Male,1742,988,1160,1133,350,435,1161,892,685,403,1155,116.0,113.3,35.0,XXXL
Male,1698,662,971,843,317,373,1037,806,567,345,1090,97.1,84.3,31.7,M
Male,1671,807,1050,1021,350,413,1112,887,621,370,1082,105.0,102.1,35.0,XL
Male,1850,1053,1213,1061,360,436,1258,940,658,404,1243,121.3,106.1,36.0,XXL
Male,1754,683,944,786,328,351,1117,880,548,364,1114,94.4,78.6,32.8,M
Male,1619,749,989,855,311,410,1143,806,614,405,1096,98.9,85.5,31.1,M
Male,1772,738,975,830,327,373,1116,887,593,370,1106,97.5,83.0,32.7,M
Male,1705,604,939,743,268,346,1067,885,498,330,1147,93.9,74.3,26.8,S
Male,1619,774,1091,967,342,399,1143,843,585,378,1045,109.1,96.7,34.2,XL
Male,1726,768,983,922,337,378,1156,881,614,373,1074,98.3,92.2,33.7,L
Male,1840,1022,1129,1120,381,385,1192,918,694,405,1200,112.9,112.0,38.1,XXXL
Male,1743,963,1205,1060,357,430,1217,872,609,427,1155,120.5,106.0,35.7,XXL
Male,1674,923,1123,1030,367,419,1201,874,685,410,1147,112.3,103.0,36.7,XL
Male,1750,988,1129,974,343,407,1264,892,687,442,1150,112.9,97.4,34.3,XL
Male,1819,887,1048,844,334,391,1271,938,636,383,1174,104.8,84.4,33.4,L
Male,1799,987,1063,969,354,411,1189,924,669,436,1207,106.3,96.9,35.4,XL
Male,1750,852,1098,1010,345,385,1173,898,631,365,1189,109.8,101.0,34.5,XL
Male,1723,748,972,892,332,378,1140,897,588,399,1123,97.2,89.2,33.2,L
Male,1809,920,1127,1032,344,390,1142,884,641,385,1168,112.7,103.2,34.4,XL
Male,1791,744,963,851,327,375,1142,859,581,373,1123,96.3,85.1,32.7,M
Male,1723,823,1098,979,321,400,1193,889,592,369,1157,109.8,97.9,32.1,XL
Male,1578,627,953,857,311,372,1013,770,570,348,1035,95.3,85.7,31.1,M
Male,1718,778,1024,979,338,391,1116,900,597,395,1092,102.4,97.9,33.8,XL
Male,1799,882,1043,984,364,390,1151,884,639,396,1144,104.3,98.4,36.4,XL
Male,1740,590,902,721,290,348,1095,860,507,344,1146,90.2,72.1,29.0,S
Male,1702,730,1008,885,328,380,1137,820,555,347,1071,100.8,88.5,32.8,L
Male,1737,864,1027,961,355,418,1187,873,649,394,1082,102.7,96.1,35.5,XL
Male,1730,866,1044,996,354,406,1142,870,641,410,1110,104.4,99.6,35.4,XL
Male,1785,737,917,838,330,366,1064,867,609,364,1116,91.7,83.8,33.0,M
Male,1817,654,917,752,320,358,1096,912,507,353,1151,91.7,75.2,32.0,S
Male,1843,696,924,775,331,361,1128,928,532,353,1160,92.4,77.5,33.1,S
Male,1791,775,994,809,349,379,1179,903,576,380,1154,99.4,80.9,34.9,M
Male,1657,727,1001,862,332,363,1128,850,629,394,1099,100.1,86.2,33.2,M
Male,1701,797,1069,1027,330,376,1124,869,613,367,1131,106.9,102.7,33.0,XL
Male,1786,744,995,797,344,374,1148,882,586,377,1107,99.5,79.7,34.4,M
Male,1755,968,1104,1082,376,398,1197,875,713,398,1135,110.4,108.2,37.6,XXL
Male,1791,866,1045,942,317,387,1157,917,597,388,1152,104.5,94.2,31.7,L
Male,1759,742,1015,871,339,365,1127,895,598,388,1124,101.5,87.1,33.9,M
Male,1790,920,1109,912,358,378,1195,920,680,393,1196,110.9,91.2,35.8,XL
Male,1782,814,991,873,338,390,1123,840,627,392,1146,99.1,87.3,33.8,M
Male,1839,646,844,785,317,350,961,865,517,376,1175,84.4,78.5,31.7,S
Male,1880,954,1176,1023,356,391,1154,946,632,393,1265,117.6,102.3,35.6,XL
Male,1738,853,1085,924,334,407,1222,910,623,402,1088,108.5,92.4,33.4,L
Male,1734,900,1085,1001,347,410,1194,910,648,420,1141,108.5,100.1,34.7,XL
Male,1819,835,1021,901,331,411,1220,947,590,347,1159,102.1,90.1,33.1,L
Male,1683,851,1096,958,328,398,1162,830,651,397,1128,109.6,95.8,32.8,L
Male,1815,897,1063,972,358,408,1156,897,655,398,1185,106.3,97.2,35.8,XL
Male,1815,872,1030,939,372,395,1154,862,632,372,1152,103.0,93.9,37.2,L
Male,1673,822,1106,1003,343,408,1197,880,642,366,1051,110.6,100.3,34.3,XL
Male,1831,1112,1163,1139,354,445,1243,935,672,433,1226,116.3,113.9,35.4,XXXL
Male,1795,987,1089,1162,380,398,1161,863,692,419,1156,108.9,116.2,38.0,XXXL
Male,1845,1105,1149,1111,368,448,1228,910,706,478,1228,114.9,111.1,36.8,XXL
Male,1687,782,1041,900,332,378,1127,867,606,390,1009,104.1,90.0,33.2,L
Male,1756,869,1056,998,337,401,1117,878,617,390,1137,105.6,99.8,33.7,XL
Male,1846,1413,1358,1330,402,464,1368,997,797,443,1275,135.8,133.0,40.2,XXXL
Male,1657,789,1025,897,337,395,1219,860,634,388,1087,102.5,89.7,33.7,L
Male,1632,690,1000,911,315,355,1105,830,563,372,1070,100.0,91.1,31.5,L
Male,1735,792,1026,861,351,390,1186,898,568,399,1119,102.6,86.1,35.1,L
Male,1726,699,989,920,326,384,1064,876,549,339,1086,98.9,92.0,32.6,L
Male,1877,1212,1251,1192,398,436,1258,950,694,456,1229,125.1,119.2,39.8,XXXL
Male,1887,878,1030,1012,350,380,1183,931,585,382,1184,103.0,101.2,35.0,XL
Male,1765,706,970,845,315,362,1060,888,547,391,1183,97.0,84.5,31.5,M
Male,1793,822,1035,843,328,393,1201,945,620,387,1142,103.5,84.3,32.8,L
Male,1849,992,1076,910,339,437,1268,931,678,408,1196,107.6,91.0,33.9,L
Male,1811,760,1038,879,323,382,1151,920,554,380,1149,103.8,87.9,32.3,L
Male,1739,988,1113,1031,350,423,1210,869,675,461,1131,111.3,103.1,35.0,XL
Male,1668,759,1011,929,351,377,1085,848,644,376,1129,101.1,92.9,35.1,L
Male,1788,898,1024,994,363,374,1144,919,669,424,1220,102.4,99.4,36.3,XL
Male,1746,782,997,815,322,395,1182,920,608,378,1189,99.7,81.5,32.2,M
Male,1750,831,1057,983,339,410,1165,854,588,367,1112,105.7,98.3,33.9,XL
Male,1810,996,1082,1004,385,442,1242,929,723,426,1164,108.2,100.4,38.5,XL
Male,1710,742,1002,825,329,398,1115,814,611,387,1053,100.2,82.5,32.9,M
Male,1847,968,1132,1077,368,399,1223,935,667,377,1219,113.2,107.7,36.8,XXL
Male,1811,916,1123,952,366,381,1162,896,678,421,1145,112.3,95.2,36.6,XL
Male,1780,1080,1175,1047,371,427,1286,948,712,422,1170,117.5,104.7,37.1,XXL
Male,1740,788,1021,851,336,387,1170,850,612,385,1107,102.1,85.1,33.6,L
Male,1797,949,1115,920,353,406,1224,894,673,423,1150,111.5,92.0,35.3,XL
Male,1755,906,1112,934,349,390,1241,908,662,414,1180,111.2,93.4,34.9,XL
Male,1842,1069,1165,1114,394,411,1248,967,722,421,1255,116.5,111.4,39.4,XXL
Male,1656,874,1056,967,353,401,1157,857,683,413,1089,105.6,96.7,35.3,XL
Male,1776,879,1048,1007,368,404,1183,895,634,397,1160,104.8,100.7,36.8,XL
Male,1859,1154,1137,1109,405,412,1199,914,742,450,1208,113.7,110.9,40.5,XXL
Male,1685,790,1041,827,326,412,1154,856,613,396,1036,104.1,82.7,32.6,L
Male,1775,887,1027,947,358,390,1176,885,685,423,1158,102.7,94.7,35.8,L
Male,1825,866,1021,881,327,398,1162,948,629,412,1237,102.1,88.1,32.7,L
Male,1931,806,1001,833,335,386,1168,965,562,384,1254,100.1,83.3,33.5,M
Male,1789,966,1126,963,356,415,1235,894,658,451,1160,112.6,96.3,35.6,XL
Male,1819,1099,1225,1100,357,447,1295,931,687,427,1156,122.5,110.0,35.7,XXL
Male,1782,771,1070,852,339,387,1216,888,570,375,1132,107.0,85.2,33.9,L
Male,1721,951,1102,941,384,400,1200,855,712,427,1123,110.2,94.1,38.4,XL
Male,1910,1118,1194,1026,357,442,1314,990,712,436,1290,119.4,102.6,35.7,XXL
Male,1804,895,1097,978,359,402,1181,921,629,388,1185,109.7,97.8,35.9,XL
Male,1782,1060,1208,1150,385,441,1235,915,698,437,1197,120.8,115.0,38.5,XXXL
Male,1777,951,1116,935,350,403,1245,916,680,442,1206,111.6,93.5,35.0,XL
Male,1665,721,995,923,325,375,1096,862,567,385,1072,99.5,92.3,32.5,L
Male,1803,872,1092,973,353,374,1183,917,642,377,1177,109.2,97.3,35.3,XL
Male,1879,978,1079,908,334,416,1272,987,669,438,1252,107.9,90.8,33.4,L
Male,1733,974,1179,1111,382,416,1226,900,684,406,1123,117.9,111.1,38.2,XXL
Male,1835,958,1084,1031,357,414,1204,935,644,422,1213,108.4,103.1,35.7,XL
Male,1792,1123,1150,1164,408,425,1248,883,774,444,1176,115.0,116.4,40.8,XXXL
Male,1721,900,1098,1006,356,414,1149,853,637,413,1055,109.8,100.6,35.6,XL
Male,1711,948,1142,1018,351,424,1175,898,705,393,1138,114.2,101.8,35.1,XL
Male,1809,950,1071,992,358,419,1216,895,652,423,1137,107.1,99.2,35.8,XL
Male,1664,739,1021,908,326,355,1168,845,609,385,1117,102.1,90.8,32.6,L
Male,1807,1036,1241,1053,368,424,1212,919,659,427,1147,124.1,105.3,36.8,XXL
Male,1705,777,1027,912,326,406,1128,876,592,383,1107,102.7,91.2,32.6,L
Male,1955,1080,1167,1049,384,415,1291,989,670,429,1287,116.7,104.9,38.4,XXL
Male,1730,840,1082,917,333,406,1190,880,631,391,1154,108.2,91.7,33.3,L
Male,1774,964,1139,1066,363,420,1184,865,631,416,1177,113.9,106.6,36.3,XXL
Male,1724,707,947,848,323,371,1080,840,567,396,1133,94.7,84.8,32.3,M
Male,1705,705,948,759,309,370,1097,859,563,373,1070,94.8,75.9,30.9,M
Male,1838,851,1058,959,345,400,1151,930,600,367,1185,105.8,95.9,34.5,L
Male,1706,865,1102,970,322,405,1203,849,623,427,1131,110.2,97.0,32.2,XL
Male,1809,972,1179,1068,353,395,1225,945,648,410,1214,117.9,106.8,35.3,XXL
Male,1773,822,1028,972,364,397,1134,891,601,401,1134,102.8,97.2,36.4,XL
Male,1734,842,1048,993,350,395,1109,844,640,382,1137,104.8,99.3,35.0,XL
Male,1748,723,969,898,337,360,1134,882,571,363,1127,96.9,89.8,33.7,L
Male,1651,896,1125,964,359,395,1186,854,678,423,1047,112.5,96.4,35.9,XL
Male,1724,755,1049,881,335,368,1107,901,602,365,1165,104.9,88.1,33.5,L
Male,1860,732,957,821,343,373,1122,913,550,367,1231,95.7,82.1,34.3,M
Male,1715,701,913,801,330,370,1085,820,576,396,1126,91.3,80.1,33.0,M
Male,1757,783,995,845,338,402,1126,892,592,379,1132,99.5,84.5,33.8,M
Male,1916,1164,1237,1134,406,414,1252,979,732,430,1245,123.7,113.4,40.6,XXXL
Male,1847,799,1018,877,308,384,1173,898,602,377,1225,101.8,87.7,30.8,M
Male,1855,908,1059,951,338,396,1270,937,661,380,1228,105.9,95.1,33.8,L
Male,1718,677,907,867,317,372,1083,857,548,361,1094,90.7,86.7,31.7,M
Male,1641,858,1063,1029,376,404,1178,847,671,433,1059,106.3,102.9,37.6,XL
Male,1833,852,1017,879,368,383,1171,918,631,415,1183,101.7,87.9,36.8,M
Male,1784,1033,1130,1015,367,431,1254,913,676,455,1153,113.0,101.5,36.7,XL
Male,1770,1034,1156,1034,377,407,1256,917,744,406,1193,115.6,103.4,37.7,XL
Male,1702,725,978,844,324,361,1107,858,613,381,1089,97.8,84.4,32.4,M
Male,1800,711,963,797,332,369,1151,907,563,344,1123,96.3,79.7,33.2,M
Male,1715,678,965,892,320,370,1081,864,551,333,1117,96.5,89.2,32.0,L
Male,1842,782,956,865,343,388,1153,874,587,354,1220,95.6,86.5,34.3,M
Male,1710,909,1080,1031,331,408,1158,875,632,444,1078,108.0,103.1,33.1,XL
Male,1753,840,1078,912,327,419,1215,903,615,373,1148,107.8,91.2,32.7,L
Male,1935,1086,1158,1086,384,412,1243,940,691,412,1259,115.8,108.6,38.4,XXL
Male,1738,758,1013,914,333,381,1105,859,578,357,1111,101.3,91.4,33.3,L
Male,1770,833,1037,923,333,384,1189,895,622,394,1178,103.7,92.3,33.3,L
Male,1720,870,1039,918,339,390,1193,902,658,417,1152,103.9,91.8,33.9,L
Male,1673,728,985,831,345,391,1082,847,592,420,1076,98.5,83.1,34.5,M
Male,1715,1109,1285,1182,399,463,1293,849,701,427,1128,128.5,118.2,39.9,XXXL
Male,1822,945,1082,1054,348,387,1155,895,655,387,1199,108.2,105.4,34.8,XXL
Male,1913,1141,1157,1118,378,433,1243,934,706,430,1238,115.7,111.8,37.8,XXL
Male,1756,907,1049,963,353,418,1187,867,674,415,1155,104.9,96.3,35.3,XL
Male,1735,846,1063,877,342,398,1205,902,641,415,1092,106.3,87.7,34.2,L
Male,1726,818,1061,912,343,402,1230,927,647,359,1162,106.1,91.2,34.3,L
Male,1716,869,1120,973,333,392,1242,869,618,390,1065,112.0,97.3,33.3,XL
Male,1717,682,913,818,327,372,1029,850,569,359,1090,91.3,81.8,32.7,M
Male,1718,680,941,783,300,390,1103,835,570,360,1112,94.1,78.3,30.0,M
Male,1747,947,1151,1015,361,430,1260,913,635,413,1136,115.1,101.5,36.1,XL
Male,1567,474,810,694,264,327,995,794,470,306,991,81.0,69.4,26.4,XS
Male,1894,1158,1163,1121,376,444,1217,894,708,452,1194,116.3,112.1,37.6,XXXL
Male,1738,729,972,870,318,385,1151,877,585,367,1110,97.2,87.0,31.8,M
Male,1862,1078,1091,1015,379,446,1218,967,707,430,1231,109.1,101.5,37.9,XL
Male,1654,540,846,738,290,360,1012,802,497,348,1063,84.6,73.8,29.0,S
Male,1637,854,1092,1032,363,385,1153,830,664,388,1059,109.2,103.2,36.3,XL
Male,1738,871,1071,979,363,399,1231,914,630,406,1124,107.1,97.9,36.3,XL
Male,1813,1071,1172,1017,356,426,1261,955,709,417,1208,117.2,101.7,35.6,XL
Male,1738,791,1035,883,317,384,1163,911,603,368,1170,103.5,88.3,31.7,L
Male,1815,1096,1203,1068,389,455,1288,975,710,425,1226,120.3,106.8,38.9,XXL
Male,1736,1150,1212,1179,402,419,1183,874,764,488,1149,121.2,117.9,40.2,XXXL
Male,1689,866,1047,993,363,408,1174,825,697,402,1138,104.7,99.3,36.3,XL
Male,1740,756,977,880,343,377,1065,842,636,387,1150,97.7,88.0,34.3,L
Male,1782,834,1014,977,358,385,1104,914,616,394,1138,101.4,97.7,35.8,XL
Male,1784,812,1041,925,347,379,1133,881,598,371,1135,104.1,92.5,34.7,L
Male,1647,845,1082,1010,361,420,1167,855,644,403,1127,108.2,101.0,36.1,XL
Male,1740,941,1166,1004,351,425,1197,900,661,400,1131,116.6,100.4,35.1,XL
Male,1664,644,967,744,316,394,1083,855,519,361,1118,96.7,74.4,31.6,M
Male,1805,1124,1171,1045,369,454,1235,953,738,453,1218,117.1,104.5,36.9,XXL
Male,1745,907,1078,936,345,422,1206,896,677,385,1181,107.8,93.6,34.5,L
Male,1605,718,963,755,302,392,1139,820,626,398,1096,96.3,75.5,30.2,M
Male,1830,971,1101,997,346,420,1215,927,626,412,1213,110.1,99.7,34.6,XL
Male,1810,813,1053,913,337,394,1171,908,585,380,1204,105.3,91.3,33.7,L
Male,1731,755,1027,921,337,370,1118,850,590,363,1085,102.7,92.1,33.7,L
Male,1845,797,972,899,352,372,1122,877,612,377,1188,97.2,89.9,35.2,L
Male,1775,648,915,734,321,364,1112,925,524,347,1154,91.5,73.4,32.1,S
Male,1795,1079,1142,1124,383,430,1253,940,725,442,1187,114.2,112.4,38.3,XXXL
Male,1664,874,1081,976,343,400,1170,861,698,406,1117,108.1,97.6,34.3,XL
Male,1752,982,1108,1084,388,401,1176,896,717,429,1175,110.8,108.4,38.8,XXL
Male,1814,893,1069,1026,350,406,1143,921,619,368,1150,106.9,102.6,35.0,XL
Male,1836,1087,1140,1078,396,415,1265,953,723,454,1228,114.0,107.8,39.6,XXL
Male,1628,775,1018,972,345,379,1107,814,647,391,1056,101.8,97.2,34.5,XL
Male,1640,801,1096,903,337,422,1214,855,608,383,1099,109.6,90.3,33.7,L
Male,1728,874,1127,928,333,406,1209,890,621,422,1095,112.7,92.8,33.3,XL
Male,1606,568,907,779,303,329,1025,818,537,360,1052,90.7,77.9,30.3,S
Male,1861,1174,1241,1149,390,428,1298,920,699,465,1211,124.1,114.9,39.0,XXXL
Male,1761,863,1092,992,370,411,1204,920,572,380,1153,109.2,99.2,37.0,XL
Male,1754,970,1178,989,360,420,1283,925,637,400,1193,117.8,98.9,36.0,XL
Male,1741,779,1031,933,339,383,1118,875,597,390,1120,103.1,93.3,33.9,L
Male,1657,556,872,744,316,365,1026,820,501,344,1054,87.2,74.4,31.6,S
Male,1660,533,884,714,288,351,1081,853,493,342,1080,88.4,71.4,28.8,S
Male,1678,933,1121,1147,370,422,1128,822,717,380,1076,112.1,114.7,37.0,XXXL
Male,1735,866,1063,976,341,425,1110,880,641,390,1131,106.3,97.6,34.1,XL
Male,1750,1096,1242,1077,359,491,1283,925,637,433,1132,124.2,107.7,35.9,XXL
Male,1701,676,949,835,316,366,1108,845,585,375,1068,94.9,83.5,31.6,M
Male,1742,718,953,797,307,369,1133,893,592,358,1115,95.3,79.7,30.7,M
Male,1818,916,1106,969,359,385,1223,920,619,404,1209,110.6,96.9,35.9,XL
Male,1785,871,1094,918,354,385,1239,936,640,385,1145,109.4,91.8,35.4,L
Male,1666,701,954,776,298,395,1109,835,597,379,1095,95.4,77.6,29.8,M
Male,1781,1115,1242,1124,350,443,1298,938,703,440,1145,124.2,112.4,35.0,XXXL
Male,1802,1084,1166,1146,384,417,1259,932,757,410,1222,116.6,114.6,38.4,XXXL
Male,1669,637,904,797,307,369,1110,870,526,353,1071,90.4,79.7,30.7,S
Male,1837,964,1071,1032,387,379,1128,937,684,418,1216,107.1,103.2,38.7,XL
Male,1881,1054,1182,1005,362,428,1275,999,646,433,1236,118.2,100.5,36.2,XXL
Male,1782,887,1052,921,368,416,1192,894,667,400,1138,105.2,92.1,36.8,L
Male,1900,1145,1162,1132,386,421,1261,988,684,423,1228,116.2,113.2,38.6,XXXL
Male,1755,890,1069,988,358,396,1162,865,678,408,1111,106.9,98.8,35.8,XL
Male,1730,688,957,797,313,360,1074,847,566,354,1110,95.7,79.7,31.3,M
Male,1624,710,1020,897,323,391,1141,847,579,367,1069,102.0,89.7,32.3,L
Male,1755,1021,1198,1145,391,414,1232,935,682,411,1154,119.8,114.5,39.1,XXXL
Male,1703,784,1079,1003,341,395,1097,840,581,399,1128,107.9,100.3,34.1,XL
Male,1762,1105,1172,1175,403,416,1233,900,739,433,1158,117.2,117.5,40.3,XXXL
Male,1720,819,1008,987,340,398,1128,865,613,401,1148,100.8,98.7,34.0,XL
Male,1711,871,1168,1043,346,416,1184,864,622,371,1131,116.8,104.3,34.6,XXL
Male,1927,869,1027,842,326,405,1181,953,596,395,1220,102.7,84.2,32.6,L
Male,1784,775,1068,915,327,382,1129,888,583,396,1110,106.8,91.5,32.7,L
Male,1835,1098,1139,1076,389,420,1253,928,767,426,1189,113.9,107.6,38.9,XXL
Male,1823,965,1076,968,384,399,1200,955,699,417,1146,107.6,96.8,38.4,XL
Male,1640,674,1045,822,315,382,1132,853,568,351,1064,104.5,82.2,31.5,L
Male,1704,1026,1231,1108,358,455,1228,912,663,423,1137,123.1,110.8,35.8,XXL
Male,1730,601,913,719,301,366,1095,897,483,344,1117,91.3,71.9,30.1,S
Male,1656,676,960,869,332,387,1112,841,569,361,1090,96.0,86.9,33.2,M
Male,1668,867,1043,931,339,408,1220,853,695,422,1056,104.3,93.1,33.9,L
Male,1635,826,1089,939,340,425,1175,868,632,395,1078,108.9,93.9,34.0,L
Male,1861,862,1019,884,342,369,1191,945,623,395,1206,101.9,88.4,34.2,L
Male,1667,821,1097,912,322,407,1167,860,612,402,1067,109.7,91.2,32.2,L
Male,1760,675,963,812,308,377,1132,857,526,338,1171,96.3,81.2,30.8,M
Male,1752,860,1074,957,346,395,1208,910,630,408,1131,107.4,95.7,34.6,L
Male,1886,954,1069,1008,375,408,1265,975,661,410,1213,106.9,100.8,37.5,XL
Male,1729,970,1168,1121,360,425,1172,890,654,426,1187,116.8,112.1,36.0,XXXL
Male,1790,895,1087,946,353,385,1208,880,619,398,1166,108.7,94.6,35.3,L
Male,1745,1016,1173,1029,352,442,1207,883,642,436,1118,117.3,102.9,35.2,XL
Male,1677,758,1002,913,335,398,1123,841,636,355,1090,100.2,91.3,33.5,L
Male,1725,715,1022,828,316,385,1154,894,564,346,1088,102.2,82.8,31.6,L
Male,1748,884,1076,972,370,411,1155,902,638,403,1175,107.6,97.2,37.0,XL
Male,1610,459,820,694,284,340,968,800,452,293,998,82.0,69.4,28.4,XS
Male,1705,756,1030,872,341,389,1141,838,594,372,1071,103.0,87.2,34.1,L
Male,1833,995,1131,1010,377,440,1211,943,684,422,1225,113.1,101.0,37.7,XL
Male,1820,1138,1183,1141,419,444,1242,932,769,458,1151,118.3,114.1,41.9,XXXL
Male,1776,840,999,908,335,406,1142,880,641,380,1143,99.9,90.8,33.5,L
Male,1791,1114,1115,1091,376,425,1299,940,755,451,1202,111.5,109.1,37.6,XXL
Male,1970,902,1072,948,359,399,1209,984,575,400,1306,107.2,94.8,35.9,L
Male,1814,924,1063,944,353,419,1210,944,652,401,1192,106.3,94.4,35.3,L
Male,1782,860,1099,1012,385,367,1162,930,648,396,1180,109.9,101.2,38.5,XL
Male,1717,842,1043,893,346,417,1148,867,642,395,1117,104.3,89.3,34.6,L
Male,1860,939,1113,992,371,404,1227,955,617,386,1198,111.3,99.2,37.1,XL
